Neighborhood,year,median_income,renter_rate,population
University Park,2019,27406.0,0.8771,42433
University Park,2020,30530.0,0.8734,42380
University Park,2021,33222.0,0.8815,41270
University Park,2022,36326.0,0.8938,41004
University Park,2023,36032.0,0.8958,39253
Exposition Park,2019,35424.0,0.7591,67640
Exposition Park,2020,37945.0,0.7512,67377
Exposition Park,2021,45128.0,0.7502,68885
Exposition Park,2022,52238.0,0.7487,69064
Exposition Park,2023,56417.0,0.7701,67895
Vermont Square,2019,35981.0,0.7061,99443
Vermont Square,2020,39434.0,0.7102,99980
Vermont Square,2021,43388.0,0.7071,100225
Vermont Square,2022,48386.0,0.6957,98990
Vermont Square,2023,51433.0,0.6872,95859
Koreatown,2019,38583.73,0.9114,103130
Koreatown,2020,40638.29,0.9088,101553
Koreatown,2021,44066.61,0.9083,98359
Koreatown,2022,50126.66,0.9018,98567
Koreatown,2023,53314.86,0.8997,98417
West Adams,2019,47245.21,0.6652,99389
West Adams,2020,49791.3,0.6716,98784
West Adams,2021,54512.72,0.6602,97272
West Adams,2022,60983.86,0.6543,97207
West Adams,2023,67263.41,0.663,94914
Leimert Park,2019,43364.0,0.6698,31754
Leimert Park,2020,47230.0,0.653,31900
Leimert Park,2021,49379.0,0.6672,31046
Leimert Park,2022,57880.0,0.6848,33076
Leimert Park,2023,61822.0,0.6964,33443
Boyle Heights,2019,40558.23,0.7698,95835
Boyle Heights,2020,44779.77,0.7684,96212
Boyle Heights,2021,49027.13,0.7662,93227
Boyle Heights,2022,51728.34,0.7708,92213
Boyle Heights,2023,56305.41,0.7812,91148
Silver Lake,2019,72845.9,0.6977,98416
Silver Lake,2020,73779.48,0.7048,97623
Silver Lake,2021,79197.87,0.6989,94760
Silver Lake,2022,88987.31,0.6921,93013
Silver Lake,2023,92001.75,0.6869,91474
Los Feliz,2019,66947.0,0.8082,44770
Los Feliz,2020,71651.0,0.8043,45996
Los Feliz,2021,78356.0,0.7974,44678
Los Feliz,2022,86826.0,0.7908,45764
Los Feliz,2023,90532.0,0.797,46049
Highland Park,2019,64267.0,0.5506,63193
Highland Park,2020,73152.0,0.5389,60509
Highland Park,2021,81853.0,0.5472,59658
Highland Park,2022,89168.0,0.5496,59151
Highland Park,2023,94401.0,0.5354,58344
Glassell Park,2019,67479.0,0.5145,46461
Glassell Park,2020,76080.0,0.5348,47389
Glassell Park,2021,80386.0,0.533,46432
Glassell Park,2022,88329.0,0.5244,44897
Glassell Park,2023,92903.0,0.5307,45075
Culver City,2019,87063.12,0.5136,47467
Culver City,2020,90774.81,0.4977,48056
Culver City,2021,99686.87,0.4751,48962
Culver City,2022,109698.72,0.4719,48357
Culver City,2023,113310.09,0.4803,48374
Mar Vista,2019,83899.0,0.6363,59167
Mar Vista,2020,87589.0,0.6358,58851
Mar Vista,2021,90983.0,0.6322,54913
Mar Vista,2022,100344.0,0.6328,54142
Mar Vista,2023,107786.0,0.6141,54975
Palms,2019,75714.0,0.8146,53861
Palms,2020,80773.0,0.7987,56416
Palms,2021,88490.0,0.796,53321
Palms,2022,97511.0,0.7966,55061
Palms,2023,103082.0,0.7935,55120
West Hollywood,2019,78271.01,0.7355,71130
West Hollywood,2020,77644.48,0.7262,69863
West Hollywood,2021,83392.55,0.7234,68934
West Hollywood,2022,92861.62,0.7282,68215
West Hollywood,2023,99086.15,0.7213,69223
Mid-Wilshire,2019,80539.0,0.8272,37965
Mid-Wilshire,2020,84315.0,0.8244,38111
Mid-Wilshire,2021,87868.0,0.8409,37596
Mid-Wilshire,2022,97583.0,0.8524,37713
Mid-Wilshire,2023,102877.0,0.8661,38784
Hancock Park,2019,49675.0,0.8341,60541
Hancock Park,2020,52775.0,0.8322,61105
Hancock Park,2021,54947.0,0.8366,59621
Hancock Park,2022,58420.0,0.8354,58833
Hancock Park,2023,62655.0,0.831,58844
Beverly Hills,2019,129422.72,0.39,27333
Beverly Hills,2020,133923.98,0.3615,28440
Beverly Hills,2021,134058.24,0.3815,28829
Beverly Hills,2022,153712.01,0.3675,28388
Beverly Hills,2023,167909.19,0.3828,28523
Brentwood,2019,129688.0,0.4897,36418
Brentwood,2020,133032.0,0.4672,36610
Brentwood,2021,143000.0,0.4618,35853
Brentwood,2022,161605.0,0.4556,35819
Brentwood,2023,169898.0,0.473,36735
Santa Monica,2019,98857.42,0.733,59169
Santa Monica,2020,102521.26,0.7412,58947
Santa Monica,2021,102901.67,0.741,59374
Santa Monica,2022,109122.45,0.7356,58553
Santa Monica,2023,116402.87,0.7337,59821
Westwood,2019,65855.0,0.6983,51627
Westwood,2020,63344.0,0.6753,52069
Westwood,2021,67422.0,0.6682,50611
Westwood,2022,74852.0,0.6674,50392
Westwood,2023,79994.0,0.6785,50830
Downtown LA,2019,41926.69,0.9358,72963
Downtown LA,2020,43360.5,0.9439,74226
Downtown LA,2021,47617.28,0.9468,76689
Downtown LA,2022,50131.25,0.9432,76457
Downtown LA,2023,57165.85,0.9323,75984
