Neighborhood,Date,Rent,permits_trailing6,employment_growth,median_income,renter_rate,covid,month,rent_lag1,rent_lag12,rent_yoy_growth
Beverly Hills,2019-01-31,8010.221773508025,0.0,,129422.72,0.39,0,1,,,
Beverly Hills,2019-02-28,7828.068572203254,0.0,0.8200448182910547,129422.72,0.39,0,2,8010.221773508025,,
Beverly Hills,2019-03-31,5275.703166364309,0.0,0.1562323835907708,129422.72,0.39,0,3,7828.068572203254,,
Beverly Hills,2019-04-30,5309.672057761236,0.0,-0.0675414897722825,129422.72,0.39,0,4,5275.703166364309,,
Beverly Hills,2019-05-31,5405.183404491018,0.0,0.1914968942100525,129422.72,0.39,0,5,5309.672057761236,,
Beverly Hills,2019-06-30,5524.3772335469785,0.0,0.1204606414930697,129422.72,0.39,0,6,5405.183404491018,,
Beverly Hills,2019-07-31,5495.045186412349,0.0,-0.9737551334702332,129422.72,0.39,0,7,5524.3772335469785,,
Beverly Hills,2019-08-31,5365.272714285202,0.0,0.4260558246529156,129422.72,0.39,0,8,5495.045186412349,,
Beverly Hills,2019-09-30,5289.047364330145,0.0,0.6049167634533559,129422.72,0.39,0,9,5365.272714285202,,
Beverly Hills,2019-10-31,5365.102092948532,0.0,0.8626356887456499,129422.72,0.39,0,10,5289.047364330145,,
Beverly Hills,2019-11-30,5499.3806073277865,0.0,0.902948891185118,129422.72,0.39,0,11,5365.102092948532,,
Beverly Hills,2019-12-31,5571.475150822382,0.0,0.004726419107337,129422.72,0.39,0,12,5499.3806073277865,,
Beverly Hills,2020-01-31,5603.96162023029,41.0,-1.435188102589957,133923.98,0.3615,0,1,5571.475150822382,8010.221773508025,-30.039869323417356
Beverly Hills,2020-02-29,5581.318853025709,70.0,0.7975705266522803,133923.98,0.3615,0,2,5603.96162023029,7828.068572203254,-28.701201304694045
Beverly Hills,2020-03-31,5584.722928550332,96.0,-1.2907522516808267,133923.98,0.3615,1,3,5581.318853025709,5275.703166364309,5.8574137407162
Beverly Hills,2020-04-30,5550.222479151271,108.0,-15.616064257028118,133923.98,0.3615,1,4,5584.722928550332,5309.672057761236,4.53041955836837
Beverly Hills,2020-05-31,5596.0019810114845,127.0,0.8776104627919779,133923.98,0.3615,1,5,5550.222479151271,5405.183404491018,3.53028865518088
Beverly Hills,2020-06-30,5564.215582524394,144.0,3.093036421966411,133923.98,0.3615,1,6,5596.0019810114845,5524.3772335469785,0.7211373751867756
Beverly Hills,2020-07-31,5563.262724742152,127.0,-0.5711252265280353,133923.98,0.3615,1,7,5564.215582524394,5495.045186412349,1.2414372587596922
Beverly Hills,2020-08-31,5539.504311878231,121.0,0.5744058029714338,133923.98,0.3615,1,8,5563.262724742152,5365.272714285202,3.2473949950229564
Beverly Hills,2020-09-30,5589.335990559448,121.0,1.3985245931648072,133923.98,0.3615,1,9,5539.504311878231,5289.047364330145,5.677556004782236
Beverly Hills,2020-10-31,5629.151952105154,134.0,2.83790370624446,133923.98,0.3615,1,10,5589.335990559448,5365.102092948532,4.921618537393124
Beverly Hills,2020-11-30,5596.600086287981,136.0,1.1357851312209233,133923.98,0.3615,1,11,5629.151952105154,5499.3806073277865,1.7678259771773508
Beverly Hills,2020-12-31,5573.663282290401,144.0,-0.7984447684510121,133923.98,0.3615,1,12,5596.600086287981,5571.475150822382,0.03927382620914077
Beverly Hills,2021-01-31,5578.477767819288,146.0,-2.9640257558790517,134058.24,0.3815,1,1,5573.663282290401,5603.96162023029,-0.4547470903263351
Beverly Hills,2021-02-28,5726.878558448635,141.0,2.232319953838946,134058.24,0.3815,1,2,5578.477767819288,5581.318853025709,2.6079804658358796
Beverly Hills,2021-03-31,5688.404403103273,154.0,0.9489205587695616,134058.24,0.3815,1,3,5726.878558448635,5584.722928550332,1.856519578131599
Beverly Hills,2021-04-30,5650.978640136506,159.0,1.450186951811849,134058.24,0.3815,1,4,5688.404403103273,5550.222479151271,1.8153535531902243
Beverly Hills,2021-05-31,5575.5034264267915,170.0,0.9334527418021654,134058.24,0.3815,1,5,5650.978640136506,5596.0019810114845,-0.3663071359561565
Beverly Hills,2021-06-30,5678.416441657819,168.0,0.0238883390778932,134058.24,0.3815,1,6,5575.5034264267915,5564.215582524394,2.052416148146685
Beverly Hills,2021-07-31,5911.598587528699,178.0,0.4861821903787033,134058.24,0.3815,0,7,5678.416441657819,5563.262724742152,6.26135920630444
Beverly Hills,2021-08-31,5991.785247194835,188.0,1.0474492827434068,134058.24,0.3815,0,8,5911.598587528699,5539.504311878231,8.164646326690072
Beverly Hills,2021-09-30,6125.196146838794,170.0,-0.0151204596619658,134058.24,0.3815,0,9,5991.785247194835,5589.335990559448,9.587188123677471
Beverly Hills,2021-10-31,6165.027281462795,157.0,2.619595718582479,134058.24,0.3815,0,10,6125.196146838794,5629.151952105154,9.519645835057577
Beverly Hills,2021-11-30,6301.5061401302655,146.0,0.9758973015457252,134058.24,0.3815,0,11,6165.027281462795,5596.600086287981,12.59525502937664
Beverly Hills,2021-12-31,6452.506562104584,142.0,0.1962119737951573,134058.24,0.3815,0,12,6301.5061401302655,5573.663282290401,15.767785660942145
Beverly Hills,2022-01-31,6427.59296157712,129.0,-2.264157050607707,153712.01,0.3675,0,1,6452.506562104584,5578.477767819288,15.221270552625409
Beverly Hills,2022-02-28,6487.461972748955,118.0,1.5731081304851902,153712.01,0.3675,0,2,6427.59296157712,5726.878558448635,13.280941904700638
Beverly Hills,2022-03-31,6472.219521537098,126.0,0.283664819041407,153712.01,0.3675,0,3,6487.461972748955,5688.404403103273,13.779173611605744
Beverly Hills,2022-04-30,6698.274628741606,131.0,0.6047403843027821,153712.01,0.3675,0,4,6472.219521537098,5650.978640136506,18.533002074483164
Beverly Hills,2022-05-31,6803.122365193703,140.0,0.252076398539236,153712.01,0.3675,0,5,6698.274628741606,5575.5034264267915,22.018082402178063
Beverly Hills,2022-06-30,6913.100707879746,154.0,-0.1128267947519412,153712.01,0.3675,0,6,6803.122365193703,5678.416441657819,21.7434610319186
Beverly Hills,2022-07-31,6771.818261229069,156.0,-0.4437487897760328,153712.01,0.3675,0,7,6913.100707879746,5911.598587528699,14.551388443645653
Beverly Hills,2022-08-31,6689.612671305207,169.0,0.3338898163605996,153712.01,0.3675,0,8,6771.818261229069,5991.785247194835,11.646402454712025
Beverly Hills,2022-09-30,6687.94877615459,170.0,0.4539359966398981,153712.01,0.3675,0,9,6689.612671305207,6125.196146838794,9.18750380926545
Beverly Hills,2022-10-31,6835.945345677373,188.0,0.8603499292422434,153712.01,0.3675,0,10,6687.94877615459,6165.027281462795,10.88264550315805
Beverly Hills,2022-11-30,6768.71673812275,175.0,0.534128414037216,153712.01,0.3675,0,11,6835.945345677373,6301.5061401302655,7.414268709779059
Beverly Hills,2022-12-31,6649.243997172474,168.0,0.0301329019570584,153712.01,0.3675,0,12,6768.71673812275,6452.506562104584,3.0490079037396756
Beverly Hills,2023-01-31,6608.856166066006,166.0,-2.199039208536135,167909.19,0.3828,0,1,6649.243997172474,6427.59296157712,2.8200790804962628
Beverly Hills,2023-02-28,6832.875798941626,164.0,0.5495574360470767,167909.19,0.3828,0,2,6608.856166066006,6487.461972748955,5.32432910811047
Beverly Hills,2023-03-31,6877.871328408235,154.0,0.0225715437323525,167909.19,0.3828,0,3,6832.875798941626,6472.219521537098,6.267584180686092
