Neighborhood,Date,permits_count,du_added,permits_trailing6,permits_trailing12,du_added_trailing6
Beverly Hills,2020-01-31,41,2.0,41.0,41.0,2.0
Beverly Hills,2020-02-29,29,2.0,70.0,70.0,4.0
Beverly Hills,2020-03-31,26,0.0,96.0,96.0,4.0
Beverly Hills,2020-04-30,12,0.0,108.0,108.0,4.0
Beverly Hills,2020-05-31,19,0.0,127.0,127.0,4.0
Beverly Hills,2020-06-30,17,-1.0,144.0,144.0,3.0
Beverly Hills,2020-07-31,24,-1.0,127.0,168.0,0.0
Beverly Hills,2020-08-31,23,0.0,121.0,191.0,-2.0
Beverly Hills,2020-09-30,26,1.0,121.0,217.0,-1.0
Beverly Hills,2020-10-31,25,0.0,134.0,242.0,-1.0
Beverly Hills,2020-11-30,21,-1.0,136.0,263.0,-2.0
Beverly Hills,2020-12-31,25,0.0,144.0,288.0,-1.0
Beverly Hills,2021-01-31,26,0.0,146.0,273.0,0.0
Beverly Hills,2021-02-28,18,0.0,141.0,262.0,0.0
Beverly Hills,2021-03-31,39,0.0,154.0,275.0,-1.0
Beverly Hills,2021-04-30,30,0.0,159.0,293.0,-1.0
Beverly Hills,2021-05-31,32,1.0,170.0,306.0,1.0
Beverly Hills,2021-06-30,23,0.0,168.0,312.0,1.0
Beverly Hills,2021-07-31,36,1.0,178.0,324.0,2.0
Beverly Hills,2021-08-31,28,-1.0,188.0,329.0,1.0
Beverly Hills,2021-09-30,21,1.0,170.0,324.0,2.0
Beverly Hills,2021-10-31,17,1.0,157.0,316.0,3.0
Beverly Hills,2021-11-30,21,0.0,146.0,316.0,2.0
Beverly Hills,2021-12-31,19,0.0,142.0,310.0,2.0
Beverly Hills,2022-01-31,23,-1.0,129.0,307.0,0.0
Beverly Hills,2022-02-28,17,1.0,118.0,306.0,2.0
Beverly Hills,2022-03-31,29,1.0,126.0,296.0,2.0
Beverly Hills,2022-04-30,22,0.0,131.0,288.0,1.0
Beverly Hills,2022-05-31,30,1.0,140.0,286.0,2.0
Beverly Hills,2022-06-30,33,-1.0,154.0,296.0,1.0
Beverly Hills,2022-07-31,25,3.0,156.0,285.0,5.0
Beverly Hills,2022-08-31,30,-3.0,169.0,287.0,1.0
Beverly Hills,2022-09-30,30,1.0,170.0,296.0,1.0
Beverly Hills,2022-10-31,40,0.0,188.0,319.0,1.0
Beverly Hills,2022-11-30,17,0.0,175.0,315.0,0.0
Beverly Hills,2022-12-31,26,2.0,168.0,322.0,3.0
Beverly Hills,2023-01-31,23,0.0,166.0,322.0,0.0
Beverly Hills,2023-02-28,28,0.0,164.0,333.0,3.0
Beverly Hills,2023-03-31,20,1.0,154.0,324.0,3.0
Beverly Hills,2023-04-30,24,-1.0,138.0,326.0,2.0
Beverly Hills,2023-05-31,27,1.0,148.0,323.0,3.0
Beverly Hills,2023-06-30,24,0.0,146.0,314.0,1.0
Beverly Hills,2023-07-31,34,1.0,157.0,323.0,2.0
Beverly Hills,2023-08-31,38,-1.0,167.0,331.0,1.0
Beverly Hills,2023-09-30,27,0.0,174.0,328.0,0.0
Beverly Hills,2023-10-31,27,0.0,177.0,315.0,1.0
Beverly Hills,2023-11-30,20,1.0,170.0,318.0,1.0
Beverly Hills,2023-12-31,14,0.0,160.0,306.0,1.0
Beverly Hills,2024-01-31,28,0.0,154.0,311.0,0.0
Beverly Hills,2024-02-29,26,0.0,142.0,309.0,1.0
Beverly Hills,2024-03-31,29,-1.0,144.0,318.0,0.0
Beverly Hills,2024-04-30,33,0.0,150.0,327.0,0.0
Beverly Hills,2024-05-31,29,1.0,159.0,329.0,0.0
Beverly Hills,2024-06-30,23,1.0,168.0,328.0,1.0
Beverly Hills,2024-07-31,17,0.0,157.0,311.0,1.0
Beverly Hills,2024-08-31,27,0.0,158.0,300.0,1.0
Beverly Hills,2024-09-30,28,-2.0,157.0,301.0,0.0
Beverly Hills,2024-10-31,30,-1.0,154.0,304.0,-1.0
Beverly Hills,2024-11-30,18,0.0,143.0,302.0,-2.0
Beverly Hills,2024-12-31,22,-1.0,142.0,310.0,-4.0
Beverly Hills,2025-01-31,26,-1.0,151.0,308.0,-5.0
Beverly Hills,2025-02-28,34,3.0,158.0,316.0,-2.0
Beverly Hills,2025-03-31,28,0.0,158.0,315.0,0.0
Beverly Hills,2025-04-30,27,0.0,155.0,309.0,1.0
Beverly Hills,2025-05-31,43,6.0,180.0,323.0,7.0
Beverly Hills,2025-06-30,29,1.0,187.0,329.0,9.0
Beverly Hills,2025-07-31,25,0.0,186.0,337.0,10.0
